Date,Year,Quarter,Month,Day
1/1/2013,2013,1,Jan,Tue
1/2/2013,2013,1,Jan,Wed
1/3/2013,2013,1,Jan,Thu
1/4/2013,2013,1,Jan,Fri
1/5/2013,2013,1,Jan,Sat
1/6/2013,2013,1,Jan,Sun
1/7/2013,2013,1,Jan,Mon
1/8/2013,2013,1,Jan,Tue
1/9/2013,2013,1,Jan,Wed
1/10/2013,2013,1,Jan,Thu
1/11/2013,2013,1,Jan,Fri
1/12/2013,2013,1,Jan,Sat
1/13/2013,2013,1,Jan,Sun
1/14/2013,2013,1,Jan,Mon
1/15/2013,2013,1,Jan,Tue
1/16/2013,2013,1,Jan,Wed
1/17/2013,2013,1,Jan,Thu
1/18/2013,2013,1,Jan,Fri
1/19/2013,2013,1,Jan,Sat
1/20/2013,2013,1,Jan,Sun
1/21/2013,2013,1,Jan,Mon
1/22/2013,2013,1,Jan,Tue
1/23/2013,2013,1,Jan,Wed
1/24/2013,2013,1,Jan,Thu
1/25/2013,2013,1,Jan,Fri
1/26/2013,2013,1,Jan,Sat
1/27/2013,2013,1,Jan,Sun
1/28/2013,2013,1,Jan,Mon
1/29/2013,2013,1,Jan,Tue
1/30/2013,2013,1,Jan,Wed
1/31/2013,2013,1,Jan,Thu
2/1/2013,2013,1,Feb,Fri
2/2/2013,2013,1,Feb,Sat
2/3/2013,2013,1,Feb,Sun
2/4/2013,2013,1,Feb,Mon
2/5/2013,2013,1,Feb,Tue
2/6/2013,2013,1,Feb,Wed
2/7/2013,2013,1,Feb,Thu
2/8/2013,2013,1,Feb,Fri
2/9/2013,2013,1,Feb,Sat
2/10/2013,2013,1,Feb,Sun
2/11/2013,2013,1,Feb,Mon
2/12/2013,2013,1,Feb,Tue
2/13/2013,2013,1,Feb,Wed
2/14/2013,2013,1,Feb,Thu
2/15/2013,2013,1,Feb,Fri
2/16/2013,2013,1,Feb,Sat
2/17/2013,2013,1,Feb,Sun
2/18/2013,2013,1,Feb,Mon
2/19/2013,2013,1,Feb,Tue
2/20/2013,2013,1,Feb,Wed
2/21/2013,2013,1,Feb,Thu
2/22/2013,2013,1,Feb,Fri
2/23/2013,2013,1,Feb,Sat
2/24/2013,2013,1,Feb,Sun
2/25/2013,2013,1,Feb,Mon
2/26/2013,2013,1,Feb,Tue
2/27/2013,2013,1,Feb,Wed
2/28/2013,2013,1,Feb,Thu
3/1/2013,2013,1,Mar,Fri
3/2/2013,2013,1,Mar,Sat
3/3/2013,2013,1,Mar,Sun
3/4/2013,2013,1,Mar,Mon
3/5/2013,2013,1,Mar,Tue
3/6/2013,2013,1,Mar,Wed
3/7/2013,2013,1,Mar,Thu
3/8/2013,2013,1,Mar,Fri
3/9/2013,2013,1,Mar,Sat
3/10/2013,2013,1,Mar,Sun
