Date,Sub Category ID,Plant ID,Vendor ID,Defect Type ID,Material Type ID,Defect ID,Defect Qty,Downtime min
12/31/2014 0:00,2,16,2,3,4,27,0,60
12/30/2014 0:00,2,16,2,3,4,27,0,70
12/30/2014 0:00,2,16,2,3,4,27,0,15
12/29/2014 0:00,2,16,2,3,4,27,0,15
12/25/2014 0:00,2,11,2,3,4,27,2,0
12/17/2014 0:00,2,16,2,4,4,27,0,0
12/15/2014 0:00,2,20,2,3,4,27,116,60
12/10/2014 0:00,2,16,2,3,4,27,0,20
12/8/2014 0:00,2,11,2,4,4,27,1,0
12/3/2014 0:00,2,16,2,3,4,27,0,45
12/2/2014 0:00,2,11,2,4,4,27,0,0
11/26/2014 0:00,2,16,2,3,4,27,0,30
11/20/2014 0:00,2,16,2,3,4,27,0,10
12/25/2014 0:00,2,24,1,4,1,5,1748,0
12/3/2014 0:00,5,6,9,3,1,5,5607,25
11/30/2014 0:00,5,6,9,1,1,5,0,0
11/19/2014 0:00,6,10,62,4,1,5,0,30
12/21/2014 0:00,2,16,1,3,1,7,41,35
11/25/2014 0:00,2,16,1,3,1,7,45,40
12/25/2014 0:00,2,16,13,3,1,7,178,60
11/25/2014 0:00,2,16,13,3,1,7,89,120
12/21/2014 0:00,2,2,1,1,1,11,1,0
12/21/2014 0:00,2,2,1,4,1,11,1,0
12/11/2014 0:00,2,2,1,1,1,11,1,0
12/31/2014 0:00,6,10,62,4,1,11,623,30
12/30/2014 0:00,2,20,62,3,1,11,12460,60
11/26/2014 0:00,2,20,62,3,1,11,1847,180
12/24/2014 0:00,2,16,13,3,1,12,67,60
12/31/2014 0:00,6,10,62,4,3,12,570,70
12/2/2014 0:00,6,10,62,4,1,12,1246,0
12/31/2014 0:00,2,16,2,3,6,29,1,60
12/25/2014 0:00,2,11,2,3,6,29,6,27
12/21/2014 0:00,2,16,2,3,6,29,67,60
12/2/2014 0:00,2,11,2,4,6,29,0,0
12/25/2014 0:00,1,1,1,4,1,17,641,0
12/15/2014 0:00,3,4,1,1,1,17,499,0
12/10/2014 0:00,2,16,2,3,6,25,0,60
12/31/2014 0:00,4,5,4,4,2,25,1,75
11/30/2014 0:00,5,6,9,3,1,25,89,20
11/27/2014 0:00,4,5,14,1,6,25,168032,0
11/30/2014 0:00,4,8,20,3,5,25,32107,30
12/1/2014 0:00,6,10,25,4,9,25,606,0
11/25/2014 0:00,6,10,32,4,9,25,606,0
11/24/2014 0:00,6,10,32,4,9,25,405,0
11/24/2014 0:00,6,10,32,4,9,25,647,0
12/11/2014 0:00,2,16,47,3,4,25,24,60
12/14/2014 0:00,5,7,75,4,16,25,42720,30
11/19/2014 0:00,2,11,79,4,3,25,1202,0
12/14/2014 0:00,2,24,2,4,4,28,27,0
12/24/2014 0:00,2,24,2,1,6,30,0,0
12/15/2014 0:00,2,24,2,1,4,30,0,0
12/10/2014 0:00,2,11,2,4,4,30,0,0
12/2/2014 0:00,2,11,2,4,6,30,0,0
11/26/2014 0:00,2,20,2,4,6,30,361,0
12/16/2014 0:00,4,5,14,4,6,30,1,0
12/1/2014 0:00,4,5,14,4,6,30,1424,0
12/9/2014 0:00,2,20,47,4,6,30,534,10
12/1/2014 0:00,2,20,47,4,6,30,534,0
11/25/2014 0:00,2,20,47,3,4,30,1,30
11/25/2014 0:00,2,20,150,3,6,30,63,960
12/22/2014 0:00,5,6,9,3,1,23,53,5
11/30/2014 0:00,5,6,9,3,1,23,534,120
12/4/2014 0:00,2,24,1,3,1,24,1335,60
11/23/2014 0:00,2,20,62,3,1,24,2225,60
12/4/2014 0:00,6,10,11,4,2,26,10680,0
12/25/2014 0:00,2,11,2,3,4,34,6,18
12/18/2014 0:00,2,20,93,3,9,34,890,30
12/22/2014 0:00,4,5,96,4,9,34,23,0
12/21/2014 0:00,2,16,2,3,4,274,13,180
12/4/2014 0:00,2,16,2,3,4,274,3,5
12/24/2014 0:00,4,22,47,4,4,274,28035,999
12/21/2014 0:00,2,16,47,3,4,274,1,180
12/21/2014 0:00,2,16,47,3,4,274,13,270
12/9/2014 0:00,2,16,2,3,4,109,8,60
12/10/2014 0:00,1,1,16,1,3,109,890,0
12/15/2014 0:00,3,4,18,3,8,109,0,15
11/23/2014 0:00,3,4,18,1,8,109,0,0
11/20/2014 0:00,4,12,20,3,3,109,534,54
12/4/2014 0:00,4,5,32,1,9,109,0,0
12/23/2014 0:00,4,5,56,4,9,109,625,20
11/26/2014 0:00,4,12,90,1,6,109,1,0
12/7/2014 0:00,4,5,92,1,9,109,18,0
11/25/2014 0:00,5,6,167,4,9,109,49,0
12/11/2014 0:00,2,16,2,4,4,173,5,0
12/9/2014 0:00,2,16,47,3,4,173,0,80
11/30/2014 0:00,2,16,2,3,6,258,16,60
12/29/2014 0:00,3,4,18,4,8,37,14,0
12/8/2014 0:00,2,11,27,4,1,38,26,0
12/4/2014 0:00,2,20,62,4,1,38,25,0
12/22/2014 0:00,5,7,139,4,9,38,490,0
12/31/2014 0:00,1,1,1,1,1,270,490,0
12/29/2014 0:00,3,4,1,3,1,270,1202,360
12/21/2014 0:00,2,24,1,4,1,270,143,0
12/16/2014 0:00,2,24,1,3,1,270,241,120
12/15/2014 0:00,2,24,1,3,1,270,214,90
12/23/2014 0:00,5,7,9,4,1,270,1691,20
11/30/2014 0:00,5,6,9,3,1,270,356,60
12/21/2014 0:00,4,23,13,1,1,270,0,0
11/26/2014 0:00,5,14,16,3,3,270,7654,30
12/25/2014 0:00,2,11,27,1,1,270,178,0
12/10/2014 0:00,2,11,27,1,1,270,374,0
12/10/2014 0:00,2,11,27,1,1,270,445,0
12/8/2014 0:00,6,10,62,4,1,270,89,28
11/26/2014 0:00,4,5,32,1,9,41,374,0
12/28/2014 0:00,2,20,93,1,9,41,890,0
12/17/2014 0:00,4,18,96,4,9,41,0,0
12/10/2014 0:00,4,5,96,4,9,41,45,0
11/24/2014 0:00,4,19,36,3,2,42,0,0
12/9/2014 0:00,2,20,4,3,10,45,1780,15
12/30/2014 0:00,2,16,1,3,1,273,14,15
12/30/2014 0:00,2,16,1,3,1,273,45,60
12/4/2014 0:00,2,24,1,3,1,273,17,30
12/14/2014 0:00,2,16,13,3,1,273,67,22
11/25/2014 0:00,2,16,13,3,1,273,23,30
12/30/2014 0:00,2,16,1,3,1,291,107,60
12/18/2014 0:00,6,10,62,4,1,291,677,0
12/8/2014 0:00,4,5,4,4,2,53,1,0
11/24/2014 0:00,4,22,36,3,2,53,365612,0
12/22/2014 0:00,2,2,1,3,1,58,2,45
11/30/2014 0:00,5,6,34,4,11,58,1691,0
